Retention volume (mL),0.5hr,1.5hr,1hr,2.5hr,5hr,PPS
0,-0.04351807,0.1785049,-0.2209244,0.09369278,-0.5098648,-0.006065369
0.003333333,-0.04486375,0.1789162,-0.2211182,0.09483804,-0.5116279,-0.00752793
0.006666667,-0.04771242,0.1791291,-0.2203088,0.09478167,-0.5151915,-0.009894575
0.01,-0.05156054,0.1807382,-0.2193048,0.08892696,-0.517851,-0.0122574
0.01333333,-0.05450457,0.1812525,-0.2198954,0.06497151,-0.5204152,-0.01462405
0.01666667,-0.05705188,0.1817629,-0.2221911,0.0204167,-0.5259777,-0.01518634
0.02,-0.06780079,0.177074,-0.2291827,-0.03723778,-0.5474399,-0.01565327
0.02333333,-0.09544881,0.1579845,-0.250777,-0.09988952,-0.5882044,-0.01971745
0.02666667,-0.1419948,0.1193981,-0.2910671,-0.1641472,-0.6444643,-0.03958211
0.03,-0.2003435,0.06670882,-0.343961,-0.2289009,-0.7087273,-0.0796456
0.03333334,-0.2634873,0.004520912,-0.4044538,-0.2939559,-0.7767898,-0.1347123
0.03666667,-0.3285346,-0.06116889,-0.4688489,-0.3572103,-0.8453521,-0.1971757
0.04,-0.3912817,-0.1280565,-0.5336409,-0.4143651,-0.9134146,-0.2615426
0.04333333,-0.4499279,-0.1945436,-0.5981352,-0.4648212,-0.975179,-0.3250054
0.04666667,-0.5038782,-0.257132,-0.658525,-0.5055728,-1.030542,-0.3864694
0.05,-0.5517251,-0.3128197,-0.7131202,-0.535628,-1.078303,-0.4420358
0.05333333,-0.593972,-0.3602104,-0.7603111,-0.5534837,-1.118965,-0.4932992
0.05666667,-0.6287192,-0.3987968,-0.797004,-0.5621384,-1.15173,-0.5376657
0.06,-0.6543644,-0.4272856,-0.8255982,-0.5614929,-1.173692,-0.5742311
0.06333333,-0.6711138,-0.4448759,-0.8451898,-0.5512495,-1.183954,-0.6010957
0.06666667,-0.6768579,-0.4528646,-0.855485,-0.5326024,-1.183318,-0.6161577
0.07,-0.6719055,-0.450752,-0.8556788,-0.505357,-1.169978,-0.6202219
0.07333334,-0.657855,-0.4383397,-0.8455691,-0.4705127,-1.146339,-0.6125902
0.07666667,-0.6358014,-0.4174282,-0.8258617,-0.4266658,-1.116402,-0.5935525
0.08,-0.6065456,-0.3885173,-0.7962551,-0.3717218,-1.079564,-0.5654169
